Geography,Gender,AgeGroup,BalanceRange,CardType,IsActiveMember,Complain,SatisfactionScore,Exited
France,Female,41-50,0–50K,DIAMOND,Active,Complaint,2,Churned
Spain,Female,41-50,50K–100K,DIAMOND,Active,Complaint,3,Stayed
France,Female,41-50,150K+,DIAMOND,Inactive,Complaint,3,Churned
France,Female,31-40,0–50K,GOLD,Inactive,No Complaint,5,Stayed
Spain,Female,41-50,100K–150K,GOLD,Active,No Complaint,5,Stayed
Spain,Male,41-50,100K–150K,DIAMOND,Inactive,Complaint,5,Churned
France,Male,41-50,0–50K,SILVER,Active,No Complaint,2,Stayed
Germany,Female,18-30,100K–150K,DIAMOND,Inactive,Complaint,2,Churned
France,Male,41-50,100K–150K,GOLD,Active,No Complaint,3,Stayed
France,Male,18-30,100K–150K,GOLD,Active,No Complaint,3,Stayed
France,Male,31-40,100K–150K,GOLD,Inactive,No Complaint,3,Stayed
Spain,Male,18-30,0–50K,GOLD,Inactive,No Complaint,3,Stayed
France,Female,31-40,0–50K,SILVER,Inactive,No Complaint,3,Stayed
France,Female,18-30,0–50K,PLATINUM,Inactive,No Complaint,3,Stayed
Spain,Female,31-40,0–50K,GOLD,Active,No Complaint,2,Stayed
Germany,Male,41-50,100K–150K,GOLD,Active,No Complaint,5,Stayed
Germany,Male,51-60,100K–150K,SILVER,Inactive,No Complaint,2,Churned
Spain,Female,18-30,0–50K,SILVER,Active,No Complaint,3,Stayed
Spain,Male,41-50,0–50K,PLATINUM,Inactive,No Complaint,3,Stayed
France,Female,18-30,0–50K,GOLD,Active,No Complaint,4,Stayed
France,Male,41-50,0–50K,PLATINUM,Active,No Complaint,3,Stayed
Spain,Female,31-40,0–50K,DIAMOND,Inactive,No Complaint,2,Stayed
Spain,Female,31-40,0–50K,DIAMOND,Inactive,Complaint,2,Churned
France,Male,41-50,0–50K,SILVER,Active,No Complaint,2,Stayed
France,Female,31-40,0–50K,PLATINUM,Active,No Complaint,3,Stayed
